unique_key,taxi_id,trip_start_timestamp,trip_end_timestamp,trip_seconds,trip_miles,pickup_census_tract,dropoff_census_tract,pickup_community_area,dropoff_community_area,fare,tips,tolls,extras,trip_total,payment_type,company,pickup_latitude,pickup_longitude,pickup_location,dropoff_latitude,dropoff_longitude,dropoff_location
ce6a391c813904a81b2ab92f42ae56d1e4fee75b,dfdb89329a6bd26bb76e1d13bcac71b813d6bd3c9f34392d06a2e4d8004ad900ef81a07f584ecdb9b32487da049fc7ea6a7a8df9b6e35458ee5a6cc504a293a1,2013-10-06 05:15:00.000000 UTC,2013-10-06 05:00:00.000000 UTC,,0.0,,,,,11.85,2.96,0.0,0.0,14.81,Credit Card,Chicago Elite Cab Corp. (Chicago Carriag,,,,,,
7346e5829abdacfb2b34c5887bce88679a7521f4,de2906134604016e07158e3221cd351fea2b064a692882dcbf782754454666f4d58612a008c2772bfc2d524891be5a6b0044a68dd08070ef281b2342b3bba40b,2015-07-01 11:30:00.000000 UTC,2015-07-01 11:30:00.000000 UTC,0,0.0,,,,,30.05,6.01,0.0,0.0,36.06,Credit Card,Chicago Elite Cab Corp. (Chicago Carriag,,,,,,
d8b41b69866c804150ae5cbab797cc641e4c8550,65057dc10e707a18a32bc4371c5db0b828e90f9caf1068beb92d3ca9131534170d7dfc54d31871ad48ab9a1bb41465fb38047c6d351f44ab27b1f32b084b284b,2014-08-14 11:45:00.000000 UTC,2014-08-14 11:45:00.000000 UTC,0,0.0,,,,,17.25,3.75,0.0,0.0,21.0,Credit Card,T.A.S. - Payment Only,,,,,,
a9f9b37cb568dc7d7b095af7fb4c14776b7ed54d,ba0f8b8f657e409a8ee262924637ca5f3f1a011a13a4604405df282acae150811192dbda134469d25ed8955e8616dfaef2c4b01257f80767832d4e9051b4624c,2019-04-19 15:30:00.000000 UTC,2019-04-19 15:45:00.000000 UTC,624,1.5,,,,,8.0,2.0,0.0,1.0,11.5,Credit Card,City Service,,,,,,
74bf2dce2a5101c336e2ed768172d5de83e6361b,8fcc45437cb7d79aab2c327c0bfe33c963409d3a27b851a8e9076d8850d12fca8bc76a2ca82b2060f185ec933ae947d2c3d8255af523acc7eefab68728fccb50,2014-01-15 22:00:00.000000 UTC,2014-01-15 22:00:00.000000 UTC,60,0.0,,,,,3.25,0.0,0.0,70.5,73.75,Credit Card,,,,,,,
1c653a5f56f34a3280495a2d9894200a57676678,ec9aa8e2291678c7aaf8dba281adad9ee82ff2c7b08f887424dcd4327c978440a57f283b82ef843cacf2f233fe084c41cb5b9e0267473a4a7823f469807b577c,2017-10-24 11:30:00.000000 UTC,2017-10-24 11:30:00.000000 UTC,60,0.0,,,,,106.25,0.0,0.0,0.0,106.75,Credit Card,Medallion Leasin,,,,,,
adea957dfd01e6d7522774e4f1d9afc469ae2523,044aa88179fa43c628fe5a956567224cf0b1b1ad5994f3b405c0ef12f5eb8dd3ab04da2b97a3fc9d94d6a9155c4de87a5fd161f15d11af96cdef5232fd17de2f,2015-08-31 09:00:00.000000 UTC,2015-08-31 09:00:00.000000 UTC,0,0.0,,,,,6.25,1.25,0.0,0.0,7.5,Credit Card,Chicago Elite Cab Corp. (Chicago Carriag,,,,,,
68fdf14e614e2960a58aa2264513e8110fa5acd5,09bc00075c914def889167301b489074b27c9e5ddaae5ff7f6c77ed6bb34260808b38da0333fc17057c3fc58986285a634a36dc38773cd46dcfb61cbcb8280fa,2013-12-21 17:30:00.000000 UTC,2013-12-21 17:45:00.000000 UTC,600,1.2,,,,,7.05,0.0,0.0,2.5,9.55,Cash,Northwest Management LLC,,,,,,
0eb94934523b63f9df39e2e5b9a422abb771b4f9,746d6a7a44c2d97606216ff513d227443a5fa5cc72b747ffa30756c6aced956f9fedcca236b4d788c982c886889947f35cef4943d948045f8f91aa7f1b176283,2019-09-12 16:30:00.000000 UTC,2019-09-12 16:45:00.000000 UTC,66,0.0,,,,,3.5,0.0,0.0,0.0,3.5,Cash,Checker Taxi Affiliation,,,,,,
eeaf56930ca81909eff683f27cc6758c6815f4a0,0c1aa5b32422ba0cc2082cd87c91d95f8ec088421d886a31750a23ed2c5124880397b4c69b05cdcfb14ebc030e421232e62563888b99ea9a7e925e2e803b2632,2013-02-08 18:45:00.000000 UTC,2013-02-08 18:45:00.000000 UTC,0,0.0,17031812000,17031812000,,,26.0,5.2,0.0,0.0,31.2,Credit Card,,,,,,,
0ef173fa58cee2d4c6185e311de9b6eb9e641177,d5f1dac3a9dffb616015fe32b5bb45b31f24f15568712e31d847ea0a970b2a0008a62842c8718a6bc5b0afdf19e759014280173ac8d1641f66bfa408e759caca,2016-04-03 21:15:00.000000 UTC,2016-04-03 21:15:00.000000 UTC,0,0.0,,,,,8.25,1.65,0.0,0.0,9.9,Credit Card,Chicago Elite Cab Corp. (Chicago Carriag,,,,,,
